NameOfProblem	Percentage	PercentageII
RA	0.214285714285714	21.4285714285714
TS	0.321428571428571	32.1428571428571
TRA	0.357142857142857	35.7142857142857
RP	0.392857142857143	39.2857142857143
TM	0.321428571428571	32.1428571428571
TP1	0.285714285714286	28.5714285714286
TP2_1	0.178571428571429	17.8571428571429
TP2_2	0.357142857142857	35.7142857142857
TP2_3	0.25	25
RM	0.535714285714286	53.5714285714286
ITO	1	100
UT1	0.75	75
UT2	0.75	75
UT3	0.75	75
UT4	0.75	75
RALIC	0.285714285714286	28.5714285714286
WORD	0.357142857142857	35.7142857142857
NRL	0.535714285714286	53.5714285714286
