NameOfProblem	Percentage	PercentageII
RA	0.285714285714286	28.5714285714286
TS	0.571428571428571	57.1428571428571
TRA	0.285714285714286	28.5714285714286
RP	0.142857142857143	14.2857142857143
TM	0.571428571428571	57.1428571428571
TP1	0.285714285714286	28.5714285714286
TP2_1	0.714285714285714	71.4285714285714
TP2_2	0.142857142857143	14.2857142857143
TP2_3	0.571428571428571	57.1428571428571
RM	0	0
ITO	0	0
UT1	0	0
UT2	0	0
UT3	0	0
UT4	0	0
RALIC	0.571428571428571	57.1428571428571
WORD	0	0
NRL	0	0
